
央视频道,#genre#
CCTV1,http://1.196.193.252:808/hls/1/index.m3u8
CCTV2,http://1.196.193.252:808/hls/2/index.m3u8
CCTV3,http://1.196.193.252:808/hls/3/index.m3u8
CCTV4,http://1.196.193.252:808/hls/4/index.m3u8
CCTV5,http://1.196.193.252:808/hls/5/index.m3u8
CCTV6,http://1.196.193.252:808/hls/6/index.m3u8
CCTV7,http://1.196.193.252:808/hls/7/index.m3u8
CCTV8,http://1.196.193.252:808/hls/8/index.m3u8
CCTV9,http://1.196.193.252:808/hls/9/index.m3u8
CCTV10,http://1.196.193.252:808/hls/10/index.m3u8
CCTV11,http://1.196.193.252:808/hls/11/index.m3u8
CCTV12,http://1.196.193.252:808/hls/12/index.m3u8
CCTV13,http://1.196.193.252:808/hls/13/index.m3u8
CCTV14,http://1.196.193.252:808/hls/14/index.m3u8
CCTV15,http://1.196.193.252:808/hls/15/index.m3u8
CCTV17,http://1.196.193.252:808/hls/17/index.m3u8
CCTV5+,http://1.196.193.252:808/hls/18/index.m3u8

卫视频道,#genre#
浙江卫视,http://1.196.193.252:808/hls/61/index.m3u8
东方卫视,http://1.196.193.252:808/hls/62/index.m3u8
江苏卫视,http://1.196.193.252:808/hls/63/index.m3u8
北京卫视,http://1.196.193.252:808/hls/64/index.m3u8
广东卫视,http://1.196.193.252:808/hls/65/index.m3u8
黑龙江卫视,http://1.196.193.252:808/hls/66/index.m3u8
山东卫视,http://1.196.193.252:808/hls/67/index.m3u8
安徽卫视,http://1.196.193.252:808/hls/68/index.m3u8
辽宁卫视,http://1.196.193.252:808/hls/69/index.m3u8
陕西卫视,http://1.196.193.252:808/hls/70/index.m3u8
贵州卫视,http://1.196.193.252:808/hls/71/index.m3u8
河北卫视,http://1.196.193.252:808/hls/72/index.m3u8
江西卫视,http://1.196.193.252:808/hls/73/index.m3u8
湖南卫视,http://1.196.193.252:808/hls/74/index.m3u8
深圳卫视,http://1.196.193.252:808/hls/75/index.m3u8
四川卫视,http://1.196.193.252:808/hls/76/index.m3u8
哈尔滨卫视,http://1.196.193.252:808/hls/77/index.m3u8
天津卫视,http://1.196.193.252:808/hls/78/index.m3u8
云南卫视,http://1.196.193.252:808/hls/79/index.m3u8
重庆卫视,http://1.196.193.252:808/hls/80/index.m3u8
吉林卫视,http://1.196.193.252:808/hls/81/index.m3u8
东南卫视,http://1.196.193.252:808/hls/83/index.m3u8
广西卫视,http://1.196.193.252:808/hls/85/index.m3u8
山西卫视,http://1.196.193.252:808/hls/86/index.m3u8
海南卫视,http://1.196.193.252:808/hls/88/index.m3u8
甘肃卫视,http://1.196.193.252:808/hls/89/index.m3u8
青海卫视,http://1.196.193.252:808/hls/90/index.m3u8
